Filiere,Niveau,Genre,Moyenne,Assiduite_pct,Statut
Chimie,Master 1,Masculin,11.49,83.4,Admis
Droit,Master 1,Masculin,11.67,86.4,Admis
Chimie,Master 2,Masculin,7.71,74.8,Ajourné
Lettres,Master 1,Masculin,15.63,69.1,Admis
Informatique,Master 2,Masculin,15.2,58.8,Admis
Physique,Master 1,Féminin,7.85,51.9,Ajourné
Biologie,Licence 3,Masculin,12.18,48.8,Admis
Physique,Master 1,Féminin,9.03,86.7,Ajourné
Droit,Master 2,Masculin,11.56,80.2,Admis
Biologie,Licence 2,Masculin,14.82,70.7,Admis
Informatique,Master 1,Masculin,14.97,73.0,Admis
Droit,Licence 2,Masculin,14.8,81.2,Admis
Mathématiques,Licence 3,Masculin,15.08,75.5,Admis
Chimie,Licence 1,Masculin,12.24,57.9,Admis
Informatique,Licence 3,Masculin,9.63,91.7,Ajourné
Chimie,Master 1,Féminin,12.51,82.6,Admis
Économie,Licence 2,Masculin,15.08,82.0,Admis
Mathématiques,Licence 2,Féminin,8.73,90.6,Ajourné
Mathématiques,Master 2,Masculin,15.95,65.8,Admis
Informatique,Licence 2,Féminin,14.74,96.2,Admis
Mathématiques,Master 2,Féminin,11.28,75.9,Admis
Biologie,Licence 1,Féminin,11.42,91.3,Admis
Mathématiques,Master 1,Masculin,10.13,89.0,Admis
Chimie,Master 2,Masculin,12.99,62.4,Admis
Chimie,Licence 1,Masculin,12.23,85.5,Admis
Droit,Licence 2,Féminin,14.38,82.9,Admis
Chimie,Licence 2,Féminin,11.94,78.5,Admis
Droit,Licence 1,Féminin,13.26,76.6,Admis
Chimie,Licence 2,Masculin,12.73,76.7,Admis
Biologie,Licence 1,Féminin,13.87,90.2,Admis
Lettres,Master 2,Féminin,13.22,86.7,Admis
Droit,Master 2,Masculin,13.77,78.5,Admis
Physique,Licence 1,Masculin,13.91,55.6,Admis
Économie,Master 2,Féminin,14.65,85.4,Admis
Informatique,Master 2,Féminin,14.02,88.9,Admis
Chimie,Master 2,Féminin,10.44,100.0,Admis
Mathématiques,Licence 3,Masculin,12.61,94.1,Admis
Lettres,Master 1,Féminin,16.92,49.5,Admis
Chimie,Licence 2,Masculin,14.03,79.2,Admis
Mathématiques,Licence 3,Masculin,9.22,100.0,Ajourné
Économie,Master 2,Masculin,13.38,87.4,Admis
Économie,Licence 1,Féminin,14.44,82.9,Admis
Économie,Master 2,Féminin,11.61,91.5,Admis
Mathématiques,Master 1,Masculin,8.4,68.7,Ajourné
Chimie,Master 2,Masculin,12.01,85.2,Admis
Économie,Licence 1,Féminin,11.65,74.2,Admis
Biologie,Master 1,Masculin,13.16,77.7,Admis
Droit,Master 2,Féminin,8.02,90.4,Ajourné
Mathématiques,Master 1,Masculin,13.21,64.1,Admis
Mathématiques,Licence 2,Masculin,10.21,97.3,Admis
Chimie,Licence 2,Masculin,15.29,71.7,Admis
Mathématiques,Master 2,Masculin,11.11,81.9,Admis
Mathématiques,Master 1,Féminin,11.74,57.0,Admis
Économie,Licence 1,Masculin,13.07,88.8,Admis
Chimie,Master 2,Masculin,11.08,99.7,Admis
Économie,Licence 2,Féminin,19.68,70.3,Admis
Droit,Licence 2,Masculin,10.76,61.3,Admis
Lettres,Master 2,Masculin,16.36,82.2,Admis
Droit,Master 1,Féminin,9.27,99.8,Ajourné
Lettres,Licence 2,Féminin,14.73,56.3,Admis
Économie,Master 1,Masculin,14.7,61.4,Admis
Droit,Licence 2,Féminin,11.94,71.2,Admis
Chimie,Licence 2,Féminin,11.37,65.7,Admis
Informatique,Licence 3,Masculin,11.84,65.7,Admis
Économie,Licence 2,Masculin,12.49,46.6,Admis
Lettres,Licence 1,Féminin,19.81,86.8,Admis
Biologie,Master 2,Féminin,13.14,83.1,Admis
Lettres,Master 2,Masculin,15.11,52.5,Admis
Biologie,Master 1,Féminin,17.65,99.9,Admis
Mathématiques,Licence 2,Féminin,9.61,100.0,Ajourné
Droit,Licence 1,Masculin,12.09,66.7,Admis
Biologie,Master 1,Masculin,12.53,95.5,Admis
Lettres,Licence 3,Masculin,13.58,69.4,Admis
Mathématiques,Master 1,Féminin,11.35,80.7,Admis
Informatique,Master 1,Masculin,10.67,65.5,Admis
Chimie,Licence 2,Féminin,13.29,100.0,Admis
Chimie,Licence 3,Féminin,10.14,73.6,Admis
Chimie,Master 1,Féminin,15.27,79.9,Admis
Biologie,Licence 1,Masculin,14.76,67.7,Admis
Informatique,Licence 1,Féminin,11.27,100.0,Admis
Biologie,Master 2,Masculin,12.09,100.0,Admis
Droit,Licence 3,Féminin,12.69,100.0,Admis
Biologie,Licence 3,Masculin,11.2,92.3,Admis
Informatique,Master 2,Masculin,17.03,68.6,Admis
Informatique,Master 1,Féminin,13.39,90.4,Admis
Droit,Licence 3,Masculin,12.98,77.9,Admis
Informatique,Licence 1,Masculin,14.2,97.7,Admis
Lettres,Licence 1,Féminin,12.35,94.7,Admis
Informatique,Licence 2,Féminin,15.22,68.3,Admis
Chimie,Licence 3,Féminin,13.09,92.2,Admis
Lettres,Master 1,Féminin,16.18,88.2,Admis
Lettres,Master 2,Masculin,13.31,36.4,Admis
Droit,Master 2,Masculin,15.29,90.0,Admis
Physique,Master 1,Masculin,13.1,71.5,Admis
Physique,Licence 2,Masculin,17.56,64.7,Admis
Informatique,Master 2,Féminin,11.58,65.4,Admis
Lettres,Licence 3,Féminin,14.31,76.0,Admis
Physique,Licence 2,Masculin,9.52,85.2,Ajourné
Physique,Licence 3,Masculin,10.78,57.5,Admis
Informatique,Licence 1,Féminin,14.05,80.8,Admis
Physique,Licence 2,Masculin,14.92,86.7,Admis
Biologie,Master 2,Féminin,20.0,100.0,Admis
Mathématiques,Licence 2,Masculin,11.56,61.8,Admis
Droit,Licence 2,Féminin,9.67,72.8,Ajourné
Mathématiques,Licence 2,Masculin,13.68,81.9,Admis
Informatique,Licence 2,Féminin,9.68,95.2,Ajourné
Chimie,Licence 3,Féminin,14.21,73.4,Admis
Droit,Licence 1,Féminin,10.74,96.0,Admis
Informatique,Master 1,Féminin,13.03,48.9,Admis
Lettres,Licence 2,Féminin,16.53,59.2,Admis
Chimie,Master 2,Féminin,12.52,83.2,Admis
Mathématiques,Licence 2,Masculin,14.13,56.8,Admis
Informatique,Master 2,Féminin,14.68,60.4,Admis
Lettres,Licence 3,Féminin,9.14,70.1,Ajourné
Droit,Master 2,Masculin,9.75,89.6,Ajourné
Droit,Master 1,Féminin,8.1,49.6,Ajourné
Économie,Licence 1,Féminin,18.5,80.6,Admis
Lettres,Master 2,Féminin,13.54,93.5,Admis
Biologie,Master 2,Masculin,17.65,75.1,Admis
Physique,Licence 1,Masculin,8.02,72.5,Ajourné
Chimie,Master 1,Féminin,11.37,84.0,Admis
Lettres,Licence 2,Féminin,15.8,75.1,Admis
Économie,Master 2,Masculin,13.95,98.9,Admis
Physique,Licence 1,Féminin,13.43,61.3,Admis
Physique,Licence 3,Féminin,8.97,77.2,Ajourné
Informatique,Licence 1,Masculin,15.94,81.1,Admis
Physique,Licence 3,Féminin,14.04,72.3,Admis
Biologie,Master 1,Masculin,14.2,34.9,Admis
Droit,Licence 2,Masculin,10.29,75.6,Admis
Économie,Licence 1,Masculin,14.31,91.5,Admis
Physique,Master 2,Féminin,11.37,89.7,Admis
Informatique,Master 1,Masculin,8.37,83.3,Ajourné
Biologie,Licence 1,Masculin,13.07,61.5,Admis
Mathématiques,Master 2,Masculin,11.41,83.9,Admis
Droit,Licence 1,Masculin,14.66,69.4,Admis
Droit,Licence 3,Féminin,6.41,83.3,Ajourné
Économie,Licence 1,Masculin,14.09,79.8,Admis
Droit,Licence 1,Masculin,9.11,63.4,Ajourné
Physique,Licence 1,Féminin,12.9,64.6,Admis
Informatique,Master 1,Masculin,13.44,83.3,Admis
Droit,Licence 1,Masculin,11.78,74.7,Admis
Droit,Master 2,Masculin,14.02,65.4,Admis
Mathématiques,Licence 3,Masculin,8.69,64.2,Ajourné
Mathématiques,Licence 3,Masculin,14.57,73.4,Admis
Chimie,Licence 1,Masculin,11.03,100.0,Admis
Biologie,Master 1,Masculin,9.31,70.1,Ajourné
Physique,Master 1,Féminin,11.42,77.8,Admis
Droit,Master 2,Masculin,6.76,79.5,Absent
Lettres,Licence 1,Féminin,14.44,61.0,Admis
Droit,Licence 3,Féminin,11.35,51.6,Admis
Informatique,Master 1,Masculin,15.58,62.6,Admis
Chimie,Licence 1,Féminin,14.42,81.7,Admis
Biologie,Master 1,Masculin,9.72,79.3,Ajourné
Lettres,Master 1,Féminin,11.7,88.5,Admis
Chimie,Licence 3,Masculin,14.1,79.5,Admis
Économie,Licence 2,Masculin,15.62,76.4,Admis
Biologie,Master 2,Masculin,16.26,68.9,Admis
Droit,Master 2,Féminin,15.04,91.3,Admis
Droit,Licence 3,Masculin,11.78,64.2,Admis
Biologie,Master 1,Féminin,14.11,61.3,Admis
Droit,Licence 1,Masculin,15.25,86.5,Admis
Physique,Master 1,Féminin,11.34,58.0,Admis
Biologie,Licence 3,Masculin,14.15,100.0,Admis
Chimie,Master 2,Féminin,11.98,79.2,Admis
Biologie,Master 1,Masculin,11.82,83.2,Admis
Lettres,Master 2,Masculin,13.92,65.9,Admis
Droit,Licence 1,Masculin,10.28,73.3,Admis
Physique,Master 2,Masculin,11.77,71.6,Admis
Physique,Master 2,Féminin,9.51,69.9,Ajourné
Économie,Licence 2,Masculin,13.03,87.5,Admis
Chimie,Licence 2,Féminin,13.92,71.3,Admis
Mathématiques,Licence 2,Masculin,10.33,93.3,Admis
Mathématiques,Master 2,Masculin,11.82,100.0,Admis
Biologie,Licence 3,Masculin,13.55,73.6,Admis
Économie,Master 2,Masculin,14.63,80.3,Admis
Informatique,Licence 3,Féminin,12.17,83.7,Admis
Biologie,Licence 3,Masculin,15.91,100.0,Admis
Économie,Licence 2,Masculin,8.25,76.8,Ajourné
Chimie,Master 1,Féminin,20.0,65.6,Admis
Chimie,Licence 1,Féminin,10.62,59.0,Admis
Chimie,Licence 2,Masculin,13.81,77.1,Admis
Chimie,Licence 2,Masculin,10.45,71.3,Admis
Chimie,Master 1,Féminin,14.41,100.0,Admis
Économie,Licence 1,Masculin,14.19,100.0,Admis
Économie,Master 2,Masculin,11.87,62.5,Admis
Physique,Master 2,Masculin,14.78,67.3,Admis
Lettres,Licence 2,Féminin,13.39,79.1,Admis
Mathématiques,Licence 1,Féminin,13.17,99.0,Admis
Droit,Licence 2,Masculin,9.71,78.9,Ajourné
Chimie,Licence 3,Masculin,12.72,68.3,Admis
Informatique,Licence 2,Masculin,17.51,77.1,Admis
Droit,Licence 2,Féminin,14.41,68.6,Admis
Économie,Master 2,Masculin,14.27,87.0,Admis
Informatique,Master 2,Masculin,11.38,67.4,Admis
Informatique,Master 2,Féminin,12.67,70.3,Admis
Informatique,Licence 3,Masculin,12.99,95.4,Admis
Physique,Master 2,Féminin,13.22,66.5,Admis
Économie,Licence 1,Masculin,10.81,56.3,Admis
Informatique,Master 1,Masculin,14.17,79.4,Admis
Chimie,Licence 1,Masculin,10.08,72.6,Admis
Biologie,Licence 1,Féminin,17.28,85.7,Admis
Informatique,Master 2,Féminin,10.57,82.8,Admis
Physique,Master 1,Féminin,12.84,77.5,Admis
Droit,Master 1,Masculin,14.51,77.1,Admis
Économie,Master 1,Féminin,12.87,67.0,Admis
Lettres,Licence 3,Masculin,14.65,79.3,Admis
Physique,Master 2,Masculin,15.69,91.2,Admis
Informatique,Master 1,Féminin,13.91,63.4,Admis
Économie,Licence 3,Masculin,14.39,77.9,Admis
Biologie,Licence 2,Masculin,8.99,93.6,Ajourné
Informatique,Licence 2,Masculin,10.17,85.6,Admis
Physique,Licence 3,Masculin,14.72,97.6,Admis
Mathématiques,Licence 3,Masculin,13.22,69.5,Admis
Chimie,Master 2,Féminin,14.6,50.5,Admis
Lettres,Master 2,Masculin,15.39,81.0,Admis
Droit,Licence 2,Féminin,15.22,83.4,Admis
Physique,Master 1,Féminin,11.45,98.5,Admis
Économie,Licence 2,Masculin,13.8,95.8,Admis
Lettres,Master 1,Masculin,11.23,86.1,Admis
Lettres,Master 1,Masculin,10.6,89.5,Admis
Lettres,Master 2,Féminin,9.69,75.1,Ajourné
Informatique,Licence 1,Masculin,10.29,59.7,Admis
Chimie,Licence 1,Féminin,16.68,79.8,Admis
Informatique,Licence 3,Masculin,8.62,92.7,Ajourné
Économie,Master 2,Féminin,12.74,87.8,Admis
Informatique,Master 1,Masculin,9.27,90.5,Ajourné
Mathématiques,Licence 1,Masculin,10.3,71.6,Admis
Chimie,Master 1,Féminin,13.22,74.0,Admis
Chimie,Licence 1,Féminin,11.05,85.3,Admis
Économie,Licence 1,Masculin,16.22,69.8,Admis
Droit,Licence 1,Féminin,15.83,70.3,Admis
Mathématiques,Master 2,Masculin,6.18,82.5,Ajourné
Physique,Licence 2,Féminin,10.39,89.4,Admis
Informatique,Master 1,Féminin,12.65,75.0,Admis
Biologie,Master 2,Masculin,16.02,60.6,Admis
Informatique,Master 2,Masculin,11.36,67.0,Admis
Lettres,Master 2,Masculin,13.75,81.1,Admis
Informatique,Master 2,Masculin,9.61,80.9,Ajourné
Physique,Master 2,Féminin,8.27,81.6,Ajourné
Informatique,Licence 3,Masculin,16.11,85.8,Admis
Mathématiques,Master 1,Masculin,7.24,78.1,Ajourné
Mathématiques,Master 2,Féminin,17.62,82.0,Admis
Chimie,Master 1,Féminin,14.61,77.3,Admis
Économie,Licence 3,Masculin,15.2,95.2,Admis
Droit,Licence 3,Masculin,13.44,99.5,Admis
Biologie,Master 1,Masculin,12.57,60.2,Admis
Lettres,Licence 1,Masculin,14.78,74.2,Admis
Informatique,Licence 2,Féminin,12.03,78.5,Admis
Informatique,Licence 1,Masculin,13.88,74.0,Admis
Physique,Licence 1,Féminin,12.02,100.0,Admis
Économie,Licence 1,Masculin,11.12,81.4,Admis
Mathématiques,Master 2,Féminin,9.62,65.9,Ajourné
Biologie,Licence 3,Féminin,10.74,86.9,Admis
Chimie,Licence 1,Féminin,15.23,82.1,Admis
Mathématiques,Licence 3,Masculin,10.26,82.6,Admis
Lettres,Master 1,Masculin,9.02,100.0,Ajourné
Économie,Licence 2,Masculin,14.49,83.3,Admis
Lettres,Master 1,Féminin,17.59,73.4,Admis
Droit,Master 1,Féminin,13.93,48.7,Admis
Chimie,Master 2,Féminin,11.29,75.5,Admis
Droit,Licence 2,Féminin,8.03,97.6,Ajourné
Physique,Master 1,Féminin,11.76,76.6,Admis
Lettres,Master 1,Masculin,13.4,44.4,Admis
Physique,Licence 2,Féminin,9.68,70.5,Ajourné
Informatique,Licence 2,Masculin,13.88,92.9,Admis
Droit,Master 1,Masculin,16.62,86.2,Admis
Économie,Licence 2,Masculin,14.06,65.4,Admis
Lettres,Master 1,Masculin,14.2,69.5,Admis
Biologie,Master 1,Masculin,10.86,71.8,Admis
Chimie,Master 2,Féminin,16.29,68.1,Admis
Mathématiques,Licence 1,Masculin,11.61,47.6,Admis
Économie,Master 1,Féminin,12.05,89.5,Admis
Économie,Licence 3,Masculin,13.66,96.9,Admis
Physique,Licence 1,Masculin,13.28,55.2,Admis
Droit,Licence 1,Masculin,12.35,96.7,Admis
Lettres,Licence 1,Masculin,16.82,76.5,Admis
Lettres,Master 2,Féminin,14.76,96.4,Admis
Informatique,Master 1,Masculin,11.79,78.6,Admis
Informatique,Master 2,Féminin,13.5,80.0,Admis
Chimie,Master 1,Masculin,14.05,83.6,Admis
Physique,Master 2,Féminin,8.86,66.1,Ajourné
Économie,Master 2,Féminin,16.37,95.9,Admis
Lettres,Licence 3,Féminin,13.05,61.2,Admis
Biologie,Master 2,Masculin,12.51,72.0,Admis
Physique,Licence 2,Masculin,13.98,85.9,Admis
Chimie,Licence 3,Masculin,14.67,70.4,Admis
Chimie,Master 2,Féminin,11.05,89.7,Admis
Physique,Licence 1,Masculin,14.11,98.6,Admis
Chimie,Licence 2,Masculin,11.4,93.2,Admis
Physique,Licence 2,Féminin,16.65,49.0,Admis
Mathématiques,Licence 2,Masculin,9.73,79.9,Ajourné
Physique,Licence 3,Féminin,12.7,93.4,Admis
Droit,Master 2,Masculin,10.04,58.2,Admis
Physique,Master 2,Masculin,17.66,88.9,Admis
Chimie,Licence 1,Féminin,9.71,88.0,Ajourné
Lettres,Licence 1,Masculin,15.11,59.8,Admis
Droit,Licence 2,Féminin,10.16,90.5,Admis
Chimie,Licence 1,Masculin,11.91,82.1,Admis
Informatique,Licence 3,Masculin,13.63,87.8,Admis
Informatique,Master 2,Féminin,15.56,63.5,Admis
Lettres,Licence 2,Féminin,17.86,80.3,Admis
Lettres,Licence 1,Féminin,9.96,52.4,Ajourné
Droit,Licence 3,Masculin,12.67,43.8,Admis
Mathématiques,Licence 3,Féminin,15.45,80.1,Admis
Lettres,Licence 1,Masculin,9.59,94.5,Ajourné
Informatique,Master 2,Masculin,13.29,81.8,Admis
Physique,Licence 1,Féminin,12.09,77.0,Admis
Chimie,Licence 2,Masculin,13.84,75.2,Admis
Informatique,Licence 1,Féminin,10.57,63.9,Admis
Informatique,Licence 3,Masculin,8.91,74.7,Ajourné
Mathématiques,Licence 1,Masculin,7.02,84.3,Ajourné
Droit,Master 2,Masculin,14.44,71.5,Admis
Droit,Master 1,Féminin,14.76,89.3,Admis
Économie,Licence 1,Féminin,14.26,80.9,Admis
Mathématiques,Master 2,Féminin,10.46,82.8,Admis
Physique,Master 2,Féminin,8.04,91.3,Ajourné
Droit,Licence 3,Féminin,13.41,70.1,Admis
Chimie,Master 2,Féminin,10.05,87.9,Admis
Lettres,Master 2,Masculin,12.02,72.2,Admis
Mathématiques,Master 2,Masculin,10.33,83.1,Admis
Lettres,Master 2,Masculin,13.31,68.3,Admis
Informatique,Licence 2,Féminin,10.6,64.3,Admis
Chimie,Licence 2,Féminin,12.88,79.4,Admis
Chimie,Licence 3,Masculin,11.25,49.7,Admis
Informatique,Licence 1,Féminin,14.25,73.6,Admis
Mathématiques,Master 2,Féminin,14.38,53.9,Admis
Informatique,Licence 1,Masculin,12.77,89.7,Admis
Lettres,Licence 1,Féminin,14.96,93.8,Admis
Économie,Licence 3,Féminin,18.79,65.0,Admis
Chimie,Master 2,Masculin,9.87,84.4,Ajourné
Biologie,Master 2,Féminin,10.12,91.5,Admis
Biologie,Master 1,Masculin,14.94,91.5,Admis
Lettres,Licence 1,Féminin,18.67,81.2,Admis
Physique,Licence 1,Féminin,11.45,89.0,Admis
Droit,Licence 2,Féminin,16.32,68.3,Admis
Informatique,Master 1,Masculin,12.74,79.2,Admis
Informatique,Licence 2,Féminin,10.8,71.0,Admis
Physique,Licence 2,Féminin,9.62,67.0,Ajourné
Physique,Licence 2,Masculin,13.67,78.5,Admis
Lettres,Licence 3,Féminin,11.51,83.2,Admis
Lettres,Licence 3,Masculin,14.0,95.5,Admis
Physique,Licence 2,Féminin,16.06,82.0,Admis
Chimie,Master 1,Masculin,12.03,87.6,Admis
Lettres,Licence 1,Masculin,17.09,87.8,Admis
Économie,Master 1,Masculin,10.46,100.0,Admis
Lettres,Master 2,Féminin,12.47,50.8,Admis
Informatique,Licence 3,Masculin,8.98,67.7,Ajourné
Lettres,Licence 1,Féminin,13.98,100.0,Admis
Chimie,Licence 1,Masculin,14.75,72.7,Admis
Physique,Master 2,Masculin,12.29,91.3,Admis
Informatique,Master 2,Masculin,15.57,81.5,Admis
Lettres,Licence 2,Féminin,11.93,100.0,Admis
Chimie,Licence 3,Masculin,13.36,61.3,Admis
Économie,Licence 3,Féminin,12.18,96.3,Admis
Lettres,Master 1,Féminin,14.7,100.0,Admis
Chimie,Licence 2,Féminin,14.06,62.8,Admis
Économie,Licence 2,Masculin,14.96,89.7,Admis
Physique,Licence 2,Masculin,9.42,63.5,Ajourné
Lettres,Licence 2,Féminin,11.58,78.5,Admis
Économie,Licence 3,Masculin,11.74,74.2,Admis
Informatique,Licence 3,Féminin,11.9,42.0,Admis
Physique,Licence 2,Masculin,12.32,84.4,Admis
Informatique,Master 1,Féminin,14.27,80.2,Admis
Biologie,Licence 1,Féminin,11.08,100.0,Admis
Mathématiques,Licence 1,Féminin,7.8,87.2,Ajourné
Lettres,Master 1,Masculin,19.19,100.0,Admis
Économie,Licence 2,Féminin,10.67,79.6,Admis
Mathématiques,Licence 3,Masculin,13.89,76.4,Admis
Mathématiques,Licence 1,Masculin,11.88,75.2,Admis
Économie,Master 2,Féminin,14.13,71.4,Admis
Physique,Master 2,Féminin,12.1,44.9,Admis
Lettres,Master 1,Féminin,12.84,74.7,Admis
Biologie,Licence 2,Féminin,14.36,47.0,Admis
Informatique,Licence 1,Masculin,11.4,84.8,Admis
Chimie,Licence 2,Masculin,15.72,59.4,Admis
Informatique,Licence 1,Féminin,13.92,64.6,Admis
Chimie,Master 1,Masculin,14.3,68.0,Admis
Informatique,Master 1,Masculin,11.23,74.9,Admis
Économie,Master 2,Masculin,12.91,78.1,Admis
Biologie,Licence 2,Masculin,10.23,94.3,Admis
Lettres,Master 2,Masculin,12.92,69.3,Admis
Chimie,Licence 2,Masculin,10.21,85.2,Admis
Lettres,Master 2,Masculin,17.08,100.0,Admis
Lettres,Licence 3,Masculin,13.93,83.7,Admis
Lettres,Licence 3,Féminin,14.23,75.3,Admis
Droit,Licence 3,Masculin,11.44,66.3,Admis
Physique,Licence 3,Masculin,12.59,75.1,Admis
Informatique,Licence 1,Féminin,18.66,64.7,Admis
Lettres,Licence 3,Masculin,13.05,82.0,Admis
Informatique,Master 1,Féminin,10.87,79.6,Admis
Lettres,Master 1,Féminin,15.12,45.6,Admis
Chimie,Licence 1,Masculin,6.49,77.7,Ajourné
Physique,Licence 3,Masculin,12.26,94.1,Admis
Physique,Licence 3,Féminin,11.17,72.0,Admis
Économie,Licence 3,Féminin,11.02,68.2,Admis
Droit,Master 2,Masculin,13.27,57.3,Admis
Économie,Licence 2,Féminin,13.63,50.1,Admis
Économie,Master 2,Masculin,8.99,90.5,Ajourné
Économie,Licence 2,Féminin,11.88,75.3,Admis
Économie,Licence 3,Masculin,6.28,89.6,Ajourné
Économie,Licence 3,Féminin,14.23,100.0,Admis
Biologie,Master 2,Féminin,13.91,91.8,Admis
Physique,Master 2,Féminin,10.12,69.9,Admis
Économie,Licence 2,Masculin,14.85,80.2,Admis
Lettres,Master 1,Masculin,10.59,68.8,Admis
Physique,Licence 2,Masculin,9.68,67.4,Ajourné
Physique,Master 2,Masculin,13.14,83.1,Admis
Mathématiques,Master 2,Masculin,10.08,65.5,Admis
Biologie,Licence 1,Féminin,13.04,44.9,Admis
Économie,Master 2,Masculin,12.09,64.7,Admis
Informatique,Licence 1,Masculin,11.47,73.4,Admis
Chimie,Master 1,Féminin,11.88,100.0,Admis
Droit,Licence 2,Féminin,10.23,70.6,Admis
Lettres,Licence 2,Féminin,14.56,85.7,Admis
Informatique,Licence 1,Féminin,10.93,75.5,Admis
Biologie,Licence 2,Masculin,13.24,96.4,Admis
Chimie,Master 2,Masculin,10.98,95.4,Admis
Biologie,Licence 3,Féminin,9.36,95.6,Ajourné
Lettres,Licence 1,Féminin,16.08,52.0,Admis
Physique,Licence 2,Masculin,13.35,81.1,Admis
Chimie,Licence 1,Féminin,18.52,89.4,Admis
Physique,Licence 1,Masculin,9.49,83.7,Ajourné
Lettres,Licence 3,Masculin,13.28,87.5,Admis
Informatique,Master 2,Masculin,12.18,78.9,Admis
Lettres,Licence 1,Féminin,16.27,66.8,Admis
Informatique,Licence 2,Féminin,11.23,52.5,Admis
Chimie,Master 1,Masculin,9.87,68.3,Ajourné
Chimie,Licence 1,Féminin,15.82,100.0,Admis
Économie,Licence 1,Masculin,12.71,70.7,Admis
Biologie,Licence 3,Masculin,15.4,48.6,Admis
Économie,Master 2,Féminin,15.41,89.0,Admis
Biologie,Master 1,Féminin,13.13,90.8,Admis
Économie,Licence 2,Féminin,13.06,97.3,Admis
Physique,Master 1,Féminin,11.12,85.1,Admis
Chimie,Licence 2,Féminin,12.76,90.7,Admis
Informatique,Master 2,Féminin,14.66,100.0,Admis
Biologie,Licence 2,Masculin,11.21,66.8,Admis
Lettres,Licence 3,Masculin,14.07,63.8,Admis
Biologie,Licence 3,Masculin,10.4,61.6,Admis
Informatique,Licence 3,Masculin,10.01,74.0,Admis
Économie,Licence 3,Féminin,13.42,99.5,Admis
Biologie,Master 1,Masculin,8.3,85.9,Ajourné
Droit,Master 2,Masculin,17.15,85.3,Admis
Physique,Licence 2,Masculin,9.12,50.7,Ajourné
Chimie,Licence 2,Féminin,12.7,67.6,Admis
Informatique,Licence 3,Masculin,15.42,50.5,Admis
Chimie,Licence 3,Féminin,10.64,95.6,Admis
